,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12
39,BERN,123699,74553,49146,2664,2008,656,34896,27078,7818,84783,44657,40126,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
40,351 BERN,72409,41560,30849,532,435,97,19675,14980,4695,51209,25540,25669,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
41,352 BOLLIGEN,16070,10316,5754,270,213,57,4808,3799,1009,10876,6234,4642,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
42,353 BREMGARTEN BEI BERN,1520,1028,492,39,27,12,346,302,44,1126,694,432,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
43,354 KIRCHLINDACH,1103,727,376,131,101,30,244,196,48,717,424,293,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
44,355 KOENIZ,16135,10159,5976,591,428,163,5123,3999,1124,10317,5678,4639,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
45,356 MURI BEI BERN,5515,3528,1987,96,79,17,1509,1179,330,3870,2246,1624,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
46,357 OBERBALM,380,257,123,207,131,76,67,62,5,106,64,42,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
47,358 STETTLEN,1049,701,348,45,36,9,328,281,47,670,381,289,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
48,359 VECHIGEN,1704,1180,524,327,237,90,487,426,61,885,515,370,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
49,360 WOHLEN BEI BERN,3673,2418,1255,358,269,89,957,814,143,2320,1310,1010,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
50,361 ZOLLIKOFEN,4141,2679,1462,68,52,16,1352,1040,312,2687,1571,1116,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
51,BIEL,28226,17005,11221,211,180,31,13810,9374,4436,13923,7267,6656,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
52,371 BIEL (BE),27235,16362,10873,193,162,31,13479,9119,4360,13289,6902,6387,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
53,372 EVILARD,991,643,348,18,18,-,331,255,76,634,365,269,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
54,BUEREN,9375,6118,3257,832,600,232,5301,3784,1517,3195,1707,1488,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
55,381 ARCH,557,368,189,54,41,13,335,240,95,167,86,81,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
56,382 BUETIGEN,264,174,90,32,20,12,121,97,24,110,57,53,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
57,383 BUEREN AN DER AARE,1379,875,504,126,88,38,736,511,225,505,269,236,BERN,432819,278050,154769,39973,28579,11394,164609,127898,36711,225362,119806,105556
