,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12
38,1055 GISIKON,178,118,60,28,19,9,64,53,11,86,46,40,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
39,1056 GREPPEN,176,119,57,44,29,15,64,58,6,68,32,36,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
40,1057 HONAU,60,36,24,25,13,12,22,18,4,13,5,8,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
41,1058 HORW,5411,3621,1790,160,120,40,1878,1570,308,3334,1906,1428,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
42,1059 KRIENS,9564,6491,3073,212,166,46,3745,3073,672,5566,3227,2339,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
43,1060 LITTAU,7229,4801,2428,131,110,21,3514,2840,674,3548,1830,1718,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
44,1061 LUZERN,30678,18178,12500,186,165,21,9121,7165,1956,20751,10441,10310,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
45,1062 MALTERS,2136,1517,619,424,313,111,919,759,160,770,429,341,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
46,1063 MEGGEN,2143,1473,670,112,98,14,559,483,76,1459,882,577,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
47,1064 MEIERSKAPPEL,327,245,82,71,66,5,108,98,10,145,80,65,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
48,1065 ROOT,1242,898,344,92,75,17,648,541,107,498,279,219,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
49,1066 SCHWARZENBERG,480,330,150,190,131,59,151,133,18,139,66,73,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
50,1067 UDLIGENSWIL,515,368,147,84,70,14,174,146,28,252,149,103,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
51,1068 VITZNAU,417,279,138,56,42,14,130,105,25,230,131,99,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
52,1069 WEGGIS,1002,649,353,120,101,19,284,239,45,596,307,289,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
53,SURSEE,21189,14606,6583,3963,3147,816,8695,6971,1724,8432,4421,4011,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
54,1081 BEROMUENSTER,742,492,250,53,43,10,340,267,73,346,180,166,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
55,1082 BUERON,707,479,228,82,63,19,409,307,102,211,105,106,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
56,1083 BUTTISHOLZ,861,656,205,253,215,38,339,286,53,267,155,112,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
57,1084 EICH,348,251,97,90,72,18,90,79,11,167,99,68,LUZERN,136645,91200,45445,15196,11857,3339,53596,43351,10245,66779,35314,31465
