,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,can_employed,can_male_employed,can_fem_employed,can_mun_1sector,can_male_1sector,can_fem_1sector,can_mun_2sector,can_male_2sector,can_fem_2sector,can_mun_3sector,can_male_3sector,can_fem_3sector,district
1,3101 APPENZELL,2334,1389,945,224,178,46,1153,760,393,948,447,5.0,APPENZELL,6109,3932,2177,1415,1121,294,2471,1750,721,2204,1051,11,1
2,3102 GONTEN,643,378,265,290,197,93,146,95,51,206,85,1.0,APPENZELL,6109,3932,2177,1415,1121,294,2471,1750,721,2204,1051,11,1
3,3103 RUETE,986,721,265,316,279,37,332,258,74,333,182,1.0,APPENZELL,6109,3932,2177,1415,1121,294,2471,1750,721,2204,1051,11,1
4,3104 SCHLATT-HASLEN,536,379,157,239,211,28,141,103,38,155,64,,APPENZELL,6109,3932,2177,1415,1121,294,2471,1750,721,2204,1051,11,1
5,3105 SCHWENDE,820,538,282,202,146,56,307,218,89,310,174,1.0,APPENZELL,6109,3932,2177,1415,1121,294,2471,1750,721,2204,1051,11,1
7,3111 OBEREGG,790,527,263,144,110,34,392,316,76,252,99,1.0,APPENZELL,6109,3932,2177,1415,1121,294,2471,1750,721,2204,1051,11,1
