,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12
0,1401 ALPNACH,1691,1198,493,244,176,68,795,626,169,650,394,256,OBWALDEN,11703,7928,3775,1900,1490,410,4597,3657,940,5171,2758,2413
1,1402 ENGELBERG,1421,893,528,164,130,34,297,253,44,954,508,446,OBWALDEN,11703,7928,3775,1900,1490,410,4597,3657,940,5171,2758,2413
2,1403 GISWIL,1161,831,330,279,228,51,460,365,95,413,232,181,OBWALDEN,11703,7928,3775,1900,1490,410,4597,3657,940,5171,2758,2413
3,1404 KERNS,1778,1248,530,361,289,72,711,605,106,703,352,351,OBWALDEN,11703,7928,3775,1900,1490,410,4597,3657,940,5171,2758,2413
4,1405 LUNGERN,734,537,197,155,136,19,297,256,41,275,140,135,OBWALDEN,11703,7928,3775,1900,1490,410,4597,3657,940,5171,2758,2413
5,1406 SACHSELN,1492,1011,481,192,163,29,667,508,159,627,336,291,OBWALDEN,11703,7928,3775,1900,1490,410,4597,3657,940,5171,2758,2413
6,1407 SARNEN,3426,2210,1216,505,368,137,1370,1044,326,1549,796,753,OBWALDEN,11703,7928,3775,1900,1490,410,4597,3657,940,5171,2758,2413
