,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
30,2834 ZIEFEN,465,305,160,59,41,18,240,179,61,164.0,84,80,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
31,SISSACH,11976,7991,3985,1183,794,389,5995,4628,1367,4749.0,2541,2208,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
32,2841 ANWIL,144,102,42,47,33,14,51,44,7,45.0,24,21,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
33,2842 BOECKTEN,284,197,87,18,11,7,185,146,39,81.0,40,41,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
34,2843 BUCKTEN,280,192,88,18,14,4,138,106,32,123.0,71,52,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
35,2844 BUUS,359,249,110,100,64,36,137,122,15,122.0,63,59,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
36,2845 DIEPFLINGEN,188,131,57,5,4,1,104,85,19,79.0,42,37,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
37,2846 GELTERKINDEN,2358,1559,799,48,34,14,1282,964,318,1022.0,558,464,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
38,2847 HAEFELFINGEN,124,80,44,31,27,4,35,25,10,58.0,28,30,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
39,2848 HEMMIKEN,124,79,45,39,24,15,38,31,7,47.0,24,23,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
40,2849 ITINGEN,560,381,179,19,13,6,308,247,61,231.0,120,111,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
41,2850 KAENERKINDEN,147,103,44,18,14,4,66,49,17,62.0,39,23,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
42,2851 KILCHBERG (BL),52,34,18,19,14,5,17,13,4,15.0,7,8,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
43,2852 LAEUFELFINGEN,527,349,178,65,40,25,267,208,59,193.0,100,93,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
44,2853 MAISPRACH,271,173,98,73,45,28,83,70,13,114.0,58,56,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
