,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,can_employed,can_male_employed,can_fem_employed,can_mun_1sector,can_male_1sector,can_fem_1sector,can_mun_2sector,can_male_2sector,can_fem_2sector,can_mun_3sector,can_male_3sector,can_fem_3sector,district
23,4030 KILLWANGEH,523,347,176,14,9,5,209,170,39,298,167,13.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
24,4031 KUENTEN,527,369,158,40,32,a,288,231,57,197,106,9.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
25,4032 MAEGENWIL,459,322,137,30,24,6,202,163,39,226,135,9.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
26,4033 MELLINGEN,1639,1065,574,50,30,20,858,657,201,726,376,35.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
27,4034 NEUENHOF,3961,2454,1507,23,19,4,2072,1530,542,1850,896,95.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
28,4035 NIEDERROHRDORF,1163,805,358,45,31,14,610,493,117,503,280,22.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
29,4036 OBEREHRENDINGEN,731,498,233,55,43,12,347,283,64,325,169,15.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
30,4037 OBERROHRDORF,1355,895,460,54,38,16,567,458,109,733,399,33.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
31,4038 OBERSIGGENTHAL,3837,2489,1348,75,55,20,2093,1621,472,1643,800,84.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
32,4039 REMETSCHWIL,392,265,127,50,33,17,178,151,27,163,80,8.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
33,4040 SPREITENBACH,4211,2529,1682,47,36,11,1552,1189,363,2590,1289,130.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
34,4041 STETTEN (AG),466,318,148,47,32,15,239,191,48,179,94,8.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
35,4042 TURGI,1440,967,473,12,8,4,922,690,232,497,262,23.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
36,4043 UNTEREHRENDINGEN,441,312,129,23,16,7,212,182,30,203,113,9.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
37,4044 UNTERSIGGENTHAL,2252,1515,737,43,30,13,1321,1030,291,872,444,42.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
38,4045 WETTINGEN,9224,5892,3332,98,74,24,4407,3469,938,4650,2304,234.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
39,4046 WOHLENSCHWII,424,293,131,44,31,13,200,171,29,179,90,8.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
40,4047 WUERENLINGEN,1411,976,435,48,40,a,759,601,158,599,331,26.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
41,4048 WUERENLOS,1570,1049,521,77,61,16,613,505,108,868,474,39.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
43,4061 ARNI-ISLISBERG,409,280,129,50,38,12,143,117,26,215,125,9.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
44,4062 BERIKON,1151,795,356,64,47,17,452,365,87,630,380,25.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
45,4063 BREMGARTEN (AG),2458,1558,900,33,32,1,1127,911,216,1289,610,67.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
46,4064 BUETTIKON,207,139,68,20,17,3,90,65,25,97,57,4.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
47,4065 DOTTIKON,1373,914,459,47,32,15,903,650,253,422,231,19.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
48,4066 EGGENWIL,188,131,57,21,16,5,82,68,14,85,47,3.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
49,4067 FISCHBACH-GOESLIKON,298,207,91,29,24,5,124,101,23,145,82,6.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
50,4068 HAEGGLINGEN,844,547,297,98,68,30,472,335,137,269,140,12.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
51,4069 HERMETSCHWIL-STAFF.,212,147,65,21,20,1,68,59,9,123,68,5.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
52,4070 HILFIKON,98,67,31,24,18,6,35,29,6,39,20,1.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
53,4071 JONEN,363,244,119,68,50,18,131,109,22,159,84,7.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
54,4072 NIEDERWII (AG),738,440,298,68,43,25,298,238,60,371,159,21.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
55,4073 OBERLUNKNOFEN,344,242,102,29,23,6,123,106,17,192,113,7.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
56,4074 OBERWIL (AG),583,392,191,54,42,12,179,151,28,343,196,14.0,AARGAU,224468,147416,77052,12047,8460,3587,112264,86171,26093,99248,52236,470,1
