,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
7,6232 CHALAIS,1805,906,899,1662,821,841,143,85,58,921,7.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
8,6233 CHANDOLIN,89,43,46,81,39,42,8,4,4,910,9.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
9,6234 CHERMIGNON,2170,1070,1100,1909,932,977,261,138,123,880,12.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
10,6235 CHIPPIS,1606,820,786,1167,564,603,439,256,183,727,27.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
11,6237 GRIMENTZ,271,137,134,248,126,122,23,11,12,915,8.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
12,6238 CRONE,1364,664,700,1290,622,668,74,42,32,946,5.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
13,6239 ICOGNE,288,137,151,264,124,140,24,13,11,917,8.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
14,6240 LENS,2412,1212,1200,2238,1114,1124,174,98,76,928,7.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
15,6241 MIEGE,653,328,325,615,312,303,38,16,22,942,5.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
16,6242 MOLL ENS (VS),334,160,174,292,136,156,42,24,18,874,12.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
17,6243 MONTANA,1908,878,1030,1554,708,846,354,170,184,814,18.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
18,6244 RANDOGHE,1791,872,919,1243,580,663,548,292,256,694,30.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
19,6245 SAINT—JEAN,165,82,83,165,82,83,,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
