,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
57,2866 WINTERSINGEN,441,230,211,437,227,210,4,3,1,991,9,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
58,2867 WITTINSBURG,242,120,122,224,109,115,18,11,7,926,74,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
59,2868 ZEGLINGEN,442,228,214,425,218,207,17,10,7,962,38,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
60,2869 ZUNZGEN,1516,786,730,1352,684,668,164,102,62,892,108,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
0,2881 ARBOLDSWIL,396,208,188,377,197,180,19,11.0,8,952,4.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
1,2882 BENNWIL,444,222,222,432,217,215,12,5.0,7,973,2.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
2,2883 BRETZWIL,637,336,301,610,317,293,27,19.0,8,958,4.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
3,2884 DIEGTEN,870,463,407,830,437,393,40,26.0,14,954,4.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
4,2885 EPTINGEN,499,250,249,490,245,245,9,5.0,4,982,1.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
5,2886 HOELSTEIN,1480,749,731,1297,640,657,183,109.0,74,876,12.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
6,2887 LAMPENBERG,386,193,193,379,189,190,7,4.0,3,982,1.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
7,2888 LANGENBRUCK,788,405,383,705,357,348,83,48.0,35,895,10.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
8,2889 LAUWIL,287,147,140,282,144,138,5,3.0,2,983,1.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
9,2890 LIEDERTSWIL,134,73,61,134,73,61,—,,—,1000,,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
10,2891 NIEDERDORF,1506,750,756,1261,611,650,245,139.0,106,837,16.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
11,2892 OBERDORF (BL),1940,961,979,1697,824,873,243,137.0,106,875,12.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
12,2893 REIGOLDSWIL,1318,680,638,1263,637,626,55,43.0,12,958,4.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
13,2894 TITTERTEN,320,162,158,316,160,156,4,2.0,2,988,1.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
14,2895 WALDENBURG,1188,616,572,1014,519,495,174,97.0,77,854,14.0,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
