,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,1,2,3,4,5,6,7,8,9,10,11
38,43 VOLKEN,205,114,91,198,110,88,7,4,3,966,34,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
39,44 WALTALINGEN,458,241,217,436,226,210,22,15,7,952,48,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
40,BUELACH,91599,46662,44937,75432,37066,38366,16167,9596,6571,824,176,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
41,51 BACHENBUELACH,2859,1478,1381,2133,1075,1058,726,403,323,746,254,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
42,52 BASSERSDORF,5335,2738,2597,4455,2188,2267,880,550,330,835,165,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
43,53 BUELACH,12292,6240,6052,10094,4968,5126,2198,1272,926,821,179,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
44,54 DIETLIKON,5310,2685,2625,4368,2144,2224,942,541,401,823,177,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
45,55 EGLISAU,2462,1239,1223,2220,1085,1135,242,154,88,902,98,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
46,56 EMBRACH,5893,2954,2939,4941,2399,2542,952,555,397,838,162,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
47,57 FREIENSTEIN—TEUFEN,1485,763,722,1291,649,642,194,114,80,869,131,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
48,58 GLATTFELDEN,2753,1418,1335,2100,1042,1058,653,376,277,763,237,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
49,59 HOCHFELDEN,928,483,445,788,388,400,140,95,45,849,151,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
50,60 HOERI,1759,940,819,1302,666,636,457,274,183,740,260,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
51,61 HUENTWANGEN,645,330,315,615,309,306,30,21,9,953,47,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
52,62 KLOTEN,15845,8084,7761,12790,6352,6438,3055,1732,1323,807,193,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
53,63 LUFINGEN,723,365,358,649,320,329,74,45,29,898,102,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
54,64 NUERENSDORF,3348,1737,1611,2977,1502,1475,371,235,136,889,111,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
55,65 OBEREMBRACH,744,385,359,704,358,346,40,27,13,946,54,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
56,66 OPFIKON,11444,5740,5704,8923,4236,4687,2521,1504,1017,780,220,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
57,67 RAFZ,2325,1196,1129,2004,997,1007,321,199,122,862,138,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
58,68 RORBAS,1315,686,629,1042,521,521,273,165,108,792,208,ZUERICH,1122839,546198,576641,938650,442059,496591,184189,104139,80050,836,164
