,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
18,2931 BARGEN (5H),237,132,105,237,132,105,—,—,—,1000,,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
19,2932 BERINGEN,2442,1224,1218,2183,1065,1118,259,159,100,894,10.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
20,2933 BUCHBERG,636,336,300,602,314,288,34,22,12,947,5.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
21,2934 HEMMENTAL,443,235,208,428,227,201,15,8,7,966,3.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
22,2936 MERISHAUSEN,540,279,261,521,267,254,19,12,7,965,3.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
23,2937 NEUHAUSEN AM RH'FALL,10662,5250,5412,8243,3906,4337,2419,1344,1075,773,22.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
24,2938 RUEDLINGEN,465,227,238,452,220,232,13,7,6,972,2.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
25,2939 SCHAFFHAUSEN,34250,16412,17838,27671,12737,14934,6579,3675,2904,808,19.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
27,2951 BEGGINGEN,464,230,234,450,223,227,14,7,7,970,3.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
28,2952 SCHLEITHEIM,1570,755,815,1491,704,787,79,51,28,950,5.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
29,2953 SIBLINGEN,626,330,296,592,311,281,34,19,15,946,5.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
31,2961 BUCH (SH),259,148,111,239,134,105,20,14,6,923,7.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
32,2962 HEMISHOFEN,293,147,146,279,138,141,14,9,5,952,4.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
33,2963 RAMSEN,1048,514,534,991,483,508,57,31,26,946,5.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
34,2964 STEIN AM RHEIN,2507,1206,1301,2177,1032,1145,330,174,156,868,13.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
36,2971 HALLAU,1776,873,903,1645,787,858,131,86,45,926,7.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
37,2972 OBERHALLAU,342,180,162,325,167,158,17,13,4,950,5.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
38,2973 TRASADINGEN,484,240,244,449,220,229,35,20,15,928,7.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
39,2974 WILCHINGEN,1060,522,538,991,477,514,69,45,24,935,6.0,SCHAFFHAUSEN,69413,33927,35486,58306,27682,30624,11107,6245,4862,840,16,1
