,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,1,2,3,4,5,6,7,8,9,10,11
0,2701 BASEL,182143,85076,97067,148910,66673,82237,33233,18403,14830,818,182,BASEL-STADT,203915,95248,108667,168407,75636,92771,35508,19612,15896,826,174
1,2702 BETTINGEN,1161,547,614,936,442,494,225,105,120,806,194,BASEL-STADT,203915,95248,108667,168407,75636,92771,35508,19612,15896,826,174
2,2703 RIEHEN,20611,9625,10986,18561,8521,10040,2050,1104,946,901,99,BASEL-STADT,203915,95248,108667,168407,75636,92771,35508,19612,15896,826,174
