,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
1,3101 APPENZELL,4781,2361,2420,4120,2012,2108,661,349,312,862,138,APPENZELL_I.RH.,12844,6543,6301,11870,6005,5865,974,538,436,924,76,1
2,3102 GONTEN,1257,629,628,1239,620,619,18,9,9,986,14,APPENZELL_I.RH.,12844,6543,6301,11870,6005,5865,974,538,436,924,76,1
3,3103 RUETE,2224,1169,1055,2126,1104,1022,98,65,33,956,44,APPENZELL_I.RH.,12844,6543,6301,11870,6005,5865,974,538,436,924,76,1
4,3104 SCHLATT-HASLEN,1129,612,517,1092,594,498,37,1B,19,967,33,APPENZELL_I.RH.,12844,6543,6301,11870,6005,5865,974,538,436,924,76,1
5,3105 SCHWENDE,1722,887,835,1646,843,803,76,44,32,956,44,APPENZELL_I.RH.,12844,6543,6301,11870,6005,5865,974,538,436,924,76,1
7,3111 OBEREGG,1731,885,846,1647,832,815,84,53,31,951,49,APPENZELL_I.RH.,12844,6543,6301,11870,6005,5865,974,538,436,924,76,1
