,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
47,3582 SCHLEUIS,359,186,173,355,183,172,4,3,1,989.0,1.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
48,3583 SCHNAUS,97,48,49,97,48,49,,,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
49,3584 SEVGEIN,176,98,78,163,85,78,13,13,-,926.0,7.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
50,3586 VALENDAS,294,144,150,294,144,150,,,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
51,3587 VERSAM,271,138,133,271,138,133,,,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
53,3591 CAMUNS,53,24,29,53,24,29,,,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
54,3592 CUMBELS,268,137,131,268,137,131,,,—,1000.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
55,3593 DUVIN,74,47,27,73,46,27,1,1,—,986.0,1.0,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
56,3594 IGELS,267,142,125,265,140,125,2,2,—,993.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
57,3595 LUMBREIN,417,229,188,416,228,188,1,1,-,998.0,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
0,3598 ST.MARTIN,49,30,19,49,30,19,,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
1,3599 SURCASTI,62,36,26,62,36,26,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
2,3600 SURCUOLM,98,62,36,88,53,35,1,898,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
3,3601 TERSNAUS,66,41,25,66,41,25,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
4,3602 UORS—PEIDEN,69,35,34,69,35,34,,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
5,3603 VALS,880,454,426,870,444,426,—,989,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
6,3604 VIGENS,199,105,94,199,105,94,,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
7,3605 VILLA (GR),380,210,170,360,190,170,—,947,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
8,3606 VRIN,266,145,121,266,145,121,,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
10,3611 ANDIAST,227,119,108,218,110,108,—,960,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
11,3612 OBERSAXEN,614,319,295,602,310,292,3,980,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
12,3613 PIGNIU/PANIX,48,27,21,48,27,21,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
13,3614 RUEUN,377,181,196,354,163,191,5,939,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
14,3615 SIAT,196,100,96,194,99,95,1,990,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
15,3616 WALTENSBURG/VUORZ,322,166,156,315,161,154,2,978,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
18,3631 ALMENS,179,86,93,178,85,93,—,994,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
19,3632 FELDIS/VEULDEN,107,53,54,102,50,52,2,953,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
20,3633 FUERSTENAU,198,97,101,181,87,94,7,914,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
21,3634 PASPELS,318,163,155,312,160,152,3,981,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
22,3635 PRATVAL,128,64,64,125,61,64,—,977,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
23,3636 RODELS,155,83,72,152,80,72,—,981,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
24,3637 ROTHENBRUNNEN,403,229,174,314,155,159,15,779,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
25,3638 SCHARANS,586,283,303,554,268,286,17,945,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
26,3639 SCHEID,116,67,49,114,65,49,—,983,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
27,3640 SILS IM DOMLESCHG,826,453,373,676,339,337,36,818,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
28,3641 TRANS,54,27,27,53,27,26,1,981,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
29,3642 TUMEGL/TOMILS,217,108,109,204,99,105,4,940,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
31,3651 SAFIEN,308,166,142,308,166,142,,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
32,3652 TENNA,121,70,51,121,70,51,,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
34,3661 CAZIS,1541,763,778,1360,647,713,65,883,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
35,3662 FLERDEN,128,67,61,126,65,61,—,984,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
36,3663 MASEIN,227,117,110,217,110,107,3,956,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
37,3664 PORTEIN,19,11,8,19,11,8,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
38,3665 PRAEZ,152,84,68,145,79,66,2,954,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
39,3666 SARN,129,65,64,127,64,63,1,984,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
40,3667 TARTAR,105,50,55,95,43,52,3,905,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
41,3668 THUSIS,2525,1231,1294,2153,995,1158,136,853,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
42,3669 TSCHAPPINA,156,71,85,153,71,82,3,981,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
43,3670 URMEIN,76,38,38,76,38,38,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
46,3681 AVERS,140,68,72,137,65,72,,979,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
48,3691 HINTERRHEIN,75,37,38,69,35,34,4,920,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
49,3692 MEDELS IM RHEINWALD,28,17,11,28,17,11,,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
50,3693 NUFENEN,136,77,59,131,72,59,,963,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
51,3694 SPLUEGEN,387,195,192,361,176,185,7,933,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
52,3695 SUFERS,114,53,61,107,48,59,2,939,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
54,3701 ANDEER,582,299,283,527,255,272,11,905,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
55,3702 AUSSERFERRERA,50,25,25,50,25,25,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
56,3703 CASTI — WERGENSTEIN,36,18,18,36,18,18,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
57,3704 CLUGIN,59,33,26,59,33,26,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
58,3596 MORISSEN,215,114,101,214,114.1,100,1,995,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
0,3706 INNERFERRERA,64,32.0,32,64,32,32,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
1,3707 LOHN (GR),36,23.0,13,36,23,13,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
2,3708 MATHON,42,21.0,21,41,21,20,1,976,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
3,3709 PATZEN—FARDUEN,48,24.0,24,48,24,24,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
4,3710 PIGNIA,88,47.0,41,77,38,39,2,875,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
5,3711 RONGELLEN,32,19.0,13,32,19,13,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
6,3712 ZILLIS—REISCHEN,252,126.0,126,240,115,125,1,952,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
9,3721 BONADUZ,1499,804.0,695,1367,696,671,24,912,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
10,3722 DOMAT/EMS,6266,3217.0,3049,5265,2610,2655,394,840,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
11,3723 RHAEZUENS,958,492.0,466,830,409,421,45,866,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
13,3731 FELSBERG,1369,710.0,659,1274,634,640,19,931,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
14,3732 FLIMS,2136,1061.0,1075,1821,880,941,134,853,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
15,3733 TAMINS,946,499.0,447,831,420,411,36,878,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
16,3734 TRIN,830,429.0,401,718,349,369,32,865,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
19,3741 ARDEZ,383,199.0,184,349,178,171,13,911,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
20,3742 GUARDA,134,68.0,66,133,67,66,—,993,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
21,3743 LAVIN,182,91.0,91,180,89,91,—,989,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
22,3744 SUSCH,217,117.0,100,198,102,96,4,912,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
23,3745 TARASP,293,167.0,126,239,132,107,19,816,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
24,3746 ZERNEZ,920,489.0,431,819,416,403,28,890,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
26,3751 RAMOSCH,454,217.0,237,445,208,237,,980,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
27,3752 SAMNAUN,597,301.0,296,532,267,265,31,891,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
28,3753 TSCHLIN,431,206.0,225,422,199,223,2,979,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
30,3761 FTAN,435,173.0,262,354,149,205,57,814,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
31,3762 SCUOL,1744,843.0,901,1597,760,837,64,916,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
32,3763 SENT,696,342.0,354,649,307,342,12,932,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
35,3771 BONDO,184,82.0,102,169,74,95,7,918,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
36,3773 CASTASEGNA,174,74.0,100,169,71,98,2,971,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
37,3774 SOGLIO,220,90.0,130,198,85,113,17,900,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
38,3775 STAMPA,420,200.0,220,388,182,206,14,924,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
39,3776 VICOSOPRANO,397,189.0,208,355,171,184,24,894,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
41,3781 BEVER,432,237.0,195,339,159,180,15,785,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
42,3782 CELERINA/SCHLARIGNA,890,458.0,432,664,306,358,74,746,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
43,3783 MADULAIN,94,46.0,48,80,40,40,8,851,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
44,3784 PONTRESINA,1726,825.0,901,1348,574,774,127,781,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
45,3785 LA PUNT—CHAMUES—CH,390,213.0,177,316,158,158,19,810,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
46,3786 SAMEDAN,2553,1292.0,1261,2126,1026,1100,161,833,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
47,3787 ST.MORITZ,5900,3125.0,2775,3954,1878,2076,699,670,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
48,3788 S—CHANF,462,230.0,232,423,211,212,20,916,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
49,3789 SILS IM ENGADIN/SEGL,434,219.0,215,355,169,186,29,818,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
50,3790 SILVAPLANA,790,382.0,408,594,269,325,83,752,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
51,3791 ZUOZ,1186,665.0,521,870,439,431,90,734,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
54,3801 ARVIGO,112,63.0,49,88,42,46,3,786,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
55,3802 AUGIO,35,19.0,16,31,15,16,—,886,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
56,3803 BRAGGIO,54,23.0,31,51,20,31,—,944,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
57,3804 BUSENO,122,67.0,55,121,66,55,—,992,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
58,3805 CASTANEDA,198,99.0,99,186,91,95,4,939,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
59,3705 DONATH,127,62,65,127.1,62.1,65.1,—,1000,,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
0,3808 ROSSA,51,31,20,49,29,20,2,,961,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
1,3809 SANTA DOMENICA,23,8,15,23,8,15,—,,1000,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
2,3810 SANTA MARIA I.C.,122,54,68,118,51,67,4,1,967,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
3,3811 SELMA,33,15,18,33,15,18,—,,1000,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
5,3821 LOSTALLO,531,257,274,453,204,249,78,25,853,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
6,3822 MESOCCO,1135,577,558,1029,515,514,106,44,907,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
7,3823 SOAllA,346,187,159,292,139,153,54,6,844,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
9,3831 CAMA-,353,173,180,296,140,156,57,24,839,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
