,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,1,2,3,4,5,6,7,8,9,10,11
40,1057 HONAU,92,50,42,80,41,39,12,9,3,870,13.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
41,1058 HORW,11629,5749,5880,10566,5106,5460,1063,643,420,909,9.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
42,1059 KRIENS,21097,10384,10713,18971,9106,9865,2126,1278,848,899,10.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
43,1060 LITTAU,14996,7460,7536,12041,5710,6331,2955,1750,1205,803,19.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
44,1061 LUZERN,63278,28609,34669,56024,24479,31545,7254,4130,3124,885,11.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
45,1062 MALTERS,4900,2549,2351,4751,2443,2308,149,106,43,970,3.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
46,1063 MEGGEN,4897,2353,2544,4449,2104,2345,448,249,199,909,9.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
47,1064 MEIERSKAPPEL,743,396,347,729,383,346,14,13,1,981,1.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
48,1065 ROOT,2618,1367,1251,2341,1188,1153,277,179,98,894,10.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
49,1066 SCHWARZENBERG,993,523,470,976,515,461,17,8,9,983,1.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
50,1067 UDLIGENSWIL,1226,634,592,1153,593,560,73,41,32,940,6.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
51,1068 VITZNAU,897,447,450,841,415,426,56,32,24,938,6.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
52,1069 WEGGIS,2367,1105,1262,2191,1010,1181,176,95,81,926,7.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
53,SURSEE,47387,24160,23227,44539,22391,22148,2848,1769,1079,940,6.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
54,1081 BEROMUENSTER,1836,944,892,1703,868,835,133,76,57,928,7.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
55,1082 BUERON,1439,736,703,1313,660,653,126,76,50,912,8.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
56,1083 BUTTISHOLZ,2058,1083,975,1907,982,925,151,101,50,927,7.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
57,1084 EICH,754,380,374,739,371,368,15,9,6,980,2.0,LUZERN,296159,146692,149467,270010,131102,138908,26149,15590,10559,912,8
