,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
48,7,1429,11,—,6,19,1423,—,,11,692,660,93,8,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6083 EVOLENE,VALAIS,1
49,4,1300,7,—,4,9,1299,—,,7,629,584,97,5,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6084 HEREMENCE,VALAIS,1
50,1,216,2,—,—,2,216,—,,1,97,97,24,1,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6085 MASE,VALAIS,1
51,6,344,5,—,1,3,352,—,,1,154,174,22,6,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6086 NAX,VALAIS,1
52,2,1016,—,—,5,5,1015,—,,3,500,471,49,3,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6087 SAINT—MARTIN (VS),VALAIS,1
53,1,198,—,—,—,—,197,,,2,94,90,14,1,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6088 VERNAMIEGE,VALAIS,1
54,21,787,8,—,13,33,775,2,,19,330,426,58,15,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6089 VEX,VALAIS,1
55,9613,216,154,11,121,258,9717,—,,140,4954,4533,551,77,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,LEUK,VALAIS,1
56,521,6,8,—,—,4,526,—,,5,231,274,25,5,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6101 AGARN,VALAIS,1
57,245,1,—,2,2,6,240,—,,4,114,112,23,1,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6102 ALBINEN,VALAIS,1
58,470,—,—,—,—,3,467,,,,241,204,23,2,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6103 BRATSCH,VALAIS,1
59,170,—,—,—,1,2,166,,,3,81,71,18,1,70307,131240,10482,123,6555,10287,203041,27,44,5308,101533,102341,11786,3047,6104 ERGISCH,VALAIS,1
