,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,mun_name,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
0,3206,22,141,5,182,226,3201,1,6,122,1673,1643,190,50,1401 ALPNACH,OBWALDEN,138,532,36,855,1377,23815,9,7,657,13107,11139,1316,303
1,2775,30,42,6,110,263,2607,5,—,88,1631,1116,164,52,1402 ENGELBERG,OBWALDEN,138,532,36,855,1377,23815,9,7,657,13107,11139,1316,303
2,2535,6,17,4,33,100,2462,—,—,33,1266,1142,163,24,1403 GISWIL,OBWALDEN,138,532,36,855,1377,23815,9,7,657,13107,11139,1316,303
3,4094,11,23,2,70,138,3990,2,—,70,2252,1736,181,31,1404 KERNS,OBWALDEN,138,532,36,855,1377,23815,9,7,657,13107,11139,1316,303
4,1720,12,9,1,31,73,1654,—,1,45,852,785,121,15,1405 LUNGERN,OBWALDEN,138,532,36,855,1377,23815,9,7,657,13107,11139,1316,303
5,3201,17,79,4,105,150,3193,—,—,63,1750,1494,138,24,1406 SACHSELN,OBWALDEN,138,532,36,855,1377,23815,9,7,657,13107,11139,1316,303
6,6773,40,221,14,324,427,6708,1,—,236,3683,3223,359,107,1407 SARNEN,OBWALDEN,138,532,36,855,1377,23815,9,7,657,13107,11139,1316,303
