,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,mun_name,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14
33,127986,1570,7292,458,7522,24523,110924,472,567,8342,65021,66676,8721,441.0,LUZERN,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
34,1917,16,17,2,148,403,1529,11,-,157,1026,1003,44,2.0,1051 ADLIGENSWIL,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
35,2429,17,220,5,184,389,2257,6,1,202,1327,1394,78,5.0,1052 BUCHRAIN,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
36,702,5,11,,24,140,560,1,-,41,379,318,23,2.0,1053 DIERIKON,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
37,7825,57,403,31,363,1297,6949,22,3,408,4097,4073,308,20.0,1054 EBIKON,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
38,337,6,3,-,24,61,286,-,-,23,196,164,6,,1055 GISIKON,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
39,338,2,3,-,6,26,305,-,1,17,172,160,16,,1056 GREPPEN,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
40,80,-,1,,11,12,67,-,-,13,41,46,4,,1057 HONAU,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
41,10629,117,411,35,437,1990,9055,13,7,564,5360,5407,548,31.0,1058 HORW,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
42,18999,176,1013,73,836,3733,16255,41,196,872,9139,10297,1077,58.0,1059 KRIENS,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
43,11970,102,1535,45,1344,2008,12088,27,6,867,6880,7163,573,38.0,1060 LITTAU,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
44,55219,945,3322,236,3556,11832,46366,322,348,4410,27455,28150,5114,255.0,1061 LUZERN,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
45,4749,10,52,5,84,449,4317,4,-,130,2605,2015,233,4.0,1062 MALTERS,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
46,4496,75,81,12,233,1186,3407,21,4,279,2042,2501,254,10.0,1063 MEGGEN,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
47,713,7,1,1,21,86,599,1,1,56,383,325,24,1.0,1064 MEIERSKAPPEL,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
48,2377,5,132,4,100,216,2273,-,,129,1270,1208,111,2.0,1065 ROOT,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
49,981,2,2,-,8,29,953,-,-,11,540,395,50,,1066 SCHWARZENBERG,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
50,1173,9,6,-,38,174,1012,-,-,40,648,533,40,,1067 UDLIGENSWIL,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
51,847,5,27,1,17,129,741,1,-,26,388,430,64,1.0,1068 VITZNAU,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
52,2205,14,52,8,88,363,1905,2,-,97,1073,1094,154,4.0,1069 WEGGIS,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
53,44487,151,1245,86,1418,3584,42428,33,4,1338,24623,20170,2204,39.0,SURSEE,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
54,1692,2,74,7,61,111,1662,-,-,63,944,775,102,1.0,1081 BEROMUENSTER,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
55,1307,2,71,4,55,122,1290,-,-,27,743,601,78,1.0,1082 BUERON,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
56,1902,5,100,2,49,88,1932,-,-,38,1143,837,72,,1083 BUTTISHOLZ,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
57,732,5,4,3,10,102,618,-,-,34,384,336,25,,1084 EICH,LUZERN,2129,11638,642,12423,38298,244066,Unnamed: 7,594,587,12614,142524,131564,16170,590
