,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,mun_name,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
0,10263,15,351,11,473,612,10226,2,2,271,5683,4670,666,,INNERER LANDESTEIL,APPENZELL,17,365,14,512,879,11630,2,2.1,331,6537,5419,770,1
1,4149,5,279,6,342,313,4321,1,-,146,2317,2087,315,,3101 APPENZELL,APPENZELL,17,365,14,512,879,11630,2,2.1,331,6537,5419,770,1
2,1245,1,2,-,9,34,1204,-,-,19,704,450,98,,3102 GONTEN,APPENZELL,17,365,14,512,879,11630,2,2.1,331,6537,5419,770,1
3,2139,1,13,2,69,103,2066,-,1,54,1155,953,108,,3103 RUETE,APPENZELL,17,365,14,512,879,11630,2,2.1,331,6537,5419,770,1
4,1091,1,18,-,19,34,1077,-,1,17,645,437,43,,3104 SCHLATT-HASLEN,APPENZELL,17,365,14,512,879,11630,2,2.1,331,6537,5419,770,1
5,1639,7,39,3,34,128,1558,1,-,35,862,743,102,,3105 SCHWENDE,APPENZELL,17,365,14,512,879,11630,2,2.1,331,6537,5419,770,1
6,1673,2,14,3,39,267,1404,-,-,60,854,749,104,,AEUSSERER LANDESTEIL,APPENZELL,17,365,14,512,879,11630,2,2.1,331,6537,5419,770,1
7,1673,2,14,3,39,267,1404,-,-,60,854,749,104,,3111 OBEREGG,APPENZELL,17,365,14,512,879,11630,2,2.1,331,6537,5419,770,1
