,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,144874,6284,15750,527,14708,77940,66168,954,1651,35430,73132,82982,15333,1069,164543,6944,16256,582,15590,90440,72301,1047,1769,38358,81685,94066,16801,1136,2701 BASEL,BASEL-STADT,1
1,1100,14,9,-,38,835,198,3,5,120,603,490,50,1,164543,6944,16256,582,15590,90440,72301,1047,1769,38358,81685,94066,16801,1136,2702 BETTINGEN,BASEL-STADT,1
2,18569,646,497,55,844,11665,5935,90,113,2808,7950,10594,1418,64,164543,6944,16256,582,15590,90440,72301,1047,1769,38358,81685,94066,16801,1136,2703 RIEHEN,BASEL-STADT,1
