,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
45,11005 472,,301,17,490.0,9463,2058,30,43,691,5070,6159,680,376,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,356 MURI BEI BERN,BERN,1
46,838 3,,,-,1.0,806,13,-,-,23,376,415,47,4,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,357 OBERBALM,BERN,1
47,2059 42,,64,2,67.0,1713,368,7,1,145,1010,1072,83,69,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,358 STETTLEN,BERN,1
48,3882 39,,52,1,62.0,3554,334,4,1,143,1954,1835,186,61,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,359 VECHIGEN,BERN,1
49,7068 246,,84,15,253.0,6013,1104,12,19,518,3432,3813,220,201,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,360 WOHLEN BEI BERN,BERN,1
50,7614 259,,473,24,347.0,6381,1881,23,6,426,3869,4163,410,275,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,361 ZOLLIKOFEN,BERN,1
51,30942 16629,,5739,77,2681.0,32593,18959,201,106,4209,22213,26880,4167,2808,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,BIEL,BERN,1
52,29674 15725,,5704,72,2618.0,30958,18496,194,103,4042,21289,25687,4061,2756,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,371 BIEL (BE),BERN,1
53,1268 904,,35,5,63.0,1635,463,7,3,167,924,1193,106,52,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,372 EVILARD,BERN,1
54,17546 493,,773,18,404.0,15434,2798,33,4,965,7892,9628,1245,469,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,BUEREN,BERN,1
55,1115 21,,9,-,17.0,993,132,5,-,32,467,610,65,20,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,381 ARCH,BERN,1
56,525 16,,4,2,4.0,496,45,5,-,5,226,276,41,8,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,382 BUETIGEN,BERN,1
57,2501 63,,145,4,48.0,2237,380,5,-,139,1157,1351,184,69,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,383 BUEREN AN DER AARE,BERN,1
58,1251 29,,85,-,22.0,1068,254,1,3,61,601,672,63,51,769791 74420,Unnamed: 1,36833,1181,29797,700315,159321,1647,886,49853,392524,436302,57985,25211,384 BUSSWIL BEI BUEREN,BERN,1
