,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,mun_name,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
31,22004,200,1537,32,928,18243,5003,68,3,1384,10601,12371,1306,4.0,SISSACH,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
32,292,1,7,—,—,290,8,-,,2,141,139,20,,2841 AHWIL,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
33,464,5,40,—,38,379,119,—,—,49,226,290,24,,2842 BOECKTEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
34,557,2,26,—,20,483,94,2,—,26,282,281,29,,2843 BUCKTEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
35,707,9,1,2,4,617,68,5,1,32,329,347,41,,2844 BUUS,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
36,376,2,11,—,8,278,87,4,,28,181,193,12,,2845 DIEPFLINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
37,4218,56,424,5,251,3165,1378,16,—,395,2092,2528,253,,2846 GELTERKINDEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
38,212,—,—,1,6,194,15,,,10,96,102,16,,2847 HAEFELFINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
39,240,—,—,—,—,208,25,,,7,105,117,18,,2848 HEMMIKEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
40,969,13,68,—,64,765,273,3,,73,445,607,49,,2849 ITINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
41,288,4,6,—,3,252,26,1,,22,132,150,13,,2850 KAENERKINDEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
42,100,2,—,—,2,91,7,—,,6,45,56,3,,2851 KILCHBERG (BL),BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
43,989,3,78,—,56,849,230,1,—,46,483,556,70,,2852 LAEUFELFINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
44,523,—,3,2,9,453,51,10,—,23,245,257,30,,2853 MAISPRACH,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
45,130,5,—,—,3,122,7,—,—,9,61,66,8,,2854 NUSSHOF,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
46,323,—,1,—,3,313,10,1,,3,138,160,25,,2855 OLTINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
47,1173,4,71,1,56,977,240,3,—,85,556,665,64,,2856 ORMALINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
48,334,1,11,—,6,283,44,,,25,147,174,20,,2857 RICKENBACH (BL),BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
49,558,5,12,—,22,509,52,,,36,286,260,45,,2858 ROTHENFLUH,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
