,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
32,290.0,1,—,—,4,242,40,,—,13,142,137,13,3,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4498 NEUKIRCH A.D.THUR,THURGAU,1
33,567.0,4,89,—,36,368,266,,—,62,307,332,29,28,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4499 SCHOENENBERG (TG),THURGAU,1
34,326.0,1,2,—,2,204,117,,,10,164,142,21,4,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4500 SCHWEIZERSHOLZ,THURGAU,1
35,3242.0,13,261,4,137,2124,1391,,,142,1525,1801,228,103,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,SULGEN,THURGAU,1
36,129.0,—,—,—,—,87,37,,,5,54,68,6,1,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4507 GOETIGHOFEN,THURGAU,1
37,915.0,3,118,2,36,610,428,,,36,458,510,73,33,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4508 KRADOLF,THURGAU,1
38,429.0,3,14,2,16,298,148,,,18,193,235,23,13,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4509 RIEDT,THURGAU,1
39,1769.0,7,129,—,85,1129,778,,,83,820,988,126,56,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4510 SULLEN,THURGAU,1
40,1515.0,5,12,3,93,1005,547,1,,75,733,763,94,38,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,ZIHLSCHLACHT,THURGAU,1
41,220.0,—,1,2,—,163,55,,,5,88,122,9,4,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4516 SCHOCHERSWIL,THURGAU,1
42,771.0,—,7,1,64,448,352,,,43,393,390,45,15,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4517 SITTERDORF,THURGAU,1
43,524.0,5,4,—,29,394,140,1,,27,252,251,40,19,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4518 ZIHLSCHLACHT,THURGAU,1
44,4354.0,21,299,6,255,3002,1591,3,4,335,2087,2355,377,116,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,BEZIRK DIESSENHOFEN,THURGAU,1
45,1943.0,10,43,3,50,1427,513,,,109,883,1003,135,28,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,BASADINGEN,THURGAU,1
46,658.0,2,11,—,10,314,335,,,32,290,336,47,8,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4531 BASADINGEN,THURGAU,1
47,209.0,—,—,—,3,197,5,,,10,84,107,19,2,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4532 METT — OBERSCHLATT,THURGAU,1
48,415.0,4,5,—,5,352,57,,,20,190,201,31,7,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4533 SCHLATTINGEN,THURGAU,1
49,661.0,4,27,3,32,564,116,,,47,319,359,38,11,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4534 UNTERSCHLATT,THURGAU,1
50,2411.0,11,256,3,205,1575,1078,3,4,226,1204,1352,242,88,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,DIESSENHOFEN,THURGAU,1
51,2078.0,11,251,2,193,1336,983,3,4,209,1041,1259,156,79,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4541 DIESSENHOFEN,THURGAU,1
52,333.0,—,5,1,12,239,95,,,17,163,93,86,9,159288,890,13035,471,10111,97561,75296,113,90,10735,80894,87160,11058,4683,4542 WILLISDORF,THURGAU,1
