,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,mun_name,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
36,18,125,1,-,3,23,115,-,-,9,57,74,12,,2036 PORTALBAN,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
37,4,56,-,-,-,7,52,-,-,1,31,26,2,,2037 PRARATOUD,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
38,9,38,-,-,-,11,35,-,-,1,24,21,2,,2038 PREVONDAVAUX,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
39,11,179,-,-,-,27,160,-,-,3,75,102,9,,2039 RUEYRES — LES — PRES,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
40,3,131,-,-,-,6,120,-,-,8,52,74,8,,2040 RUSSY,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
41,52,679,12,-,15,90,647,-,-,21,334,369,45,1.0,2041 SAINT—AUBIN (FR),FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
42,7,92,-,-,-,10,86,-,-,3,42,46,8,,2042 SEIRY,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
43,7,79,-,-,,8,77,-,-,1,40,36,9,,2043 SEVAZ,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
44,11,175,2,,4,22,161,-,-,9,84,88,19,,2044 SURPIERRE,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
45,25,178,-,-,1,43,154,1,-,6,84,103,15,,2045 VALLON,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
46,10,164,1,,-,21,147,-,-,7,68,92,14,,2046 VESIN,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
47,15,179,-,-,-,23,163,-,-,8,84,90,12,,2047 VILLENEUVE (FR),FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
