,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
48,34.0,1,,62,-,65,32,- -,,-,46,43,7,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3583 SCHNAUS,GRAUBUENDEN,1
49,38.0,,12,124,2,28,148,- -,,-,92,71,13,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3584 SEVGEIN,GRAUBUENDEN,1
50,278.0,,1,15,-,272,18,- -,,4,131,131,30,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3586 VALENDAS,GRAUBUENDEN,1
51,263.0,,1,7,-,241,17,-,,13,119,130,18,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3587 VERSAM,GRAUBUENDEN,1
52,1034.0,3,32,2267,27,126,3188,- -,,49,1670,1461,214,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,KREIS LUGNEZ,GRAUBUENDEN,1
53,,,1,51,1,-,49,- -,,4,24,28,1,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3591 CAMUNS,GRAUBUENDEN,1
54,29.0,1,1,236,1,3,264,- -,,1,147,96,23,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3592 CUMBELS,GRAUBUENDEN,1
55,19.0,,-,55,-,68,6,- -,,-,44,24,5,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3593 DUVIN,GRAUBUENDEN,1
56,24.0,1,4,238,-,7,254,- -,,6,133,116,16,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3594 IGELS,GRAUBUENDEN,1
57,6.0,,1,410,-,5,411,- -,,1,217,175,24,,98645,924,22199,36017,6856,74437,84003,86 57,Unnamed: 8,6058,77726,74593,9239,3083,3595 LUMBREIN,GRAUBUENDEN,1
