,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,73187,583,5505,335,5334,32399,46173,236,178,5958,39019,36869,5435,3621,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,ST.GALLEN,ST.GALLEN,1
1,767,3,—,4,13,108,661,1,—,17,407,343,33,4,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3201 HAEGGENSCHWIL,ST.GALLEN,1
2,835,—,5,—,7,165,667,—,—,15,449,358,34,6,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3202 MUOLEN,ST.GALLEN,1
3,64723,534,5270,311,5009,29190,40738,224,167,5528,34680,32671,5108,3388,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3203 ST.GALLEN,ST.GALLEN,1
4,6862,46,230,20,305,2936,4107,11,11,398,3483,3497,260,223,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3204 WITTENBACH,ST.GALLEN,1
5,27065,128,2298,106,1882,10215,19461,31,2,1770,13749,15004,1748,978,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,RORSCHACH,ST.GALLEN,1
6,614,—,5,6,23,234,380,—,—,34,331,289,19,9,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3211 BERG (SG),ST.GALLEN,1
7,1674,11,6,8,42,530,1101,3,—,107,812,818,86,25,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3212 EGGERSRIET,ST.GALLEN,1
8,7057,31,560,18,274,2648,4890,2,—,400,3369,3859,450,262,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3213 GOLDACH,ST.GALLEN,1
9,1962,11,32,8,47,455,1544,—,—,61,1025,913,89,33,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3214 MOERSCHWIL,ST.GALLEN,1
10,7455,48,1295,38,1042,3091,6128,18,2,639,4247,4572,680,379,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3215 RORSCHACH,ST.GALLEN,1
11,4760,14,246,13,261,2050,2902,6,—,336,2213,2685,220,176,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3216 RORSCHACHERBERG,ST.GALLEN,1
12,2201,8,122,11,171,841,1510,2,—,160,1054,1261,131,67,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3217 STEINACH,ST.GALLEN,1
13,793,4,28,1,19,232,590,—,—,23,403,379,40,23,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3218 TUEBACH,ST.GALLEN,1
14,549,1,4,3,3,134,416,—,—,10,295,228,33,4,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3219 UNTEREGGEN,ST.GALLEN,1
15,29355,128,1896,107,1981,12059,19611,14,7,1776,14546,16258,1832,831,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,UNTERRHEINTAL,ST.GALLEN,1
16,4746,21,295,13,359,1667,3476,1,3,287,2398,2669,233,134,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3231 AU (SG),ST.GALLEN,1
17,2726,18,147,11,220,1381,1516,,—,225,1319,1558,193,52,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3232 BALGACH,ST.GALLEN,1
18,2553,8,169,9,54,1216,1445,,,132,1190,1390,153,60,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3233 BERNECK,ST.GALLEN,1
19,3241,11,204,2,104,1160,2312,3,—,87,1646,1658,196,62,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3234 DIEPOLDSAU,ST.GALLEN,1
20,2510,12,319,10,186,1415,1438,2,—,182,1264,1443,219,111,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3235 RHEINECK,ST.GALLEN,1
21,4235,15,363,25,297,2063,2566,4,—,302,1990,2478,280,187,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3236 ST.MARGRETHEN,ST.GALLEN,1
22,4289,21,216,20,179,2290,2209,4,1,221,2057,2251,286,131,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3237 THAL,ST.GALLEN,1
23,5055,22,183,17,582,867,4649,—,3,340,2682,2811,272,94,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3238 WIDNAU,ST.GALLEN,1
24,20573,41,576,172,823,4883,16568,2,,732,10587,9898,1298,402,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,OBERRHEINTAL,ST.GALLEN,1
25,8457,7,302,42,452,2197,6714,,,349,4341,4110,591,218,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3251 ALTSTAETTEN,ST.GALLEN,1
26,703,4,2,1,9,418,277,,,24,330,334,41,14,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3252 EICHBERG,ST.GALLEN,1
27,1187,7,29,99,60,594,745,,,43,658,632,73,19,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3253 MARBACH (5G),ST.GALLEN,1
28,6052,8,78,12,72,392,5724,1,,105,3189,2645,317,71,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3254 OBERRIET (5G),ST.GALLEN,1
29,2742,9,139,15,222,1174,1760,1,,192,1387,1493,184,63,347074,1662,20559,1919,20781,131350,239223,401,233,20788,181580,178288,22001,10126,3255 REBSTEIN,ST.GALLEN,1
